"distance","i","spectrumID"
39.778417825892,"1257","spec-6052-56092-0294.fits"
39.9493554917022,"589","spec-5436-56015-0440.fits"
40.1363082155413,"185","spec-6452-56366-0270.fits"
40.7222114113404,"1526","spec-5783-56017-0903.fits"
41.1890312290866,"29","spec-3804-55267-0936.fits"
41.5110913265827,"1080","spec-5172-56071-0705.fits"
41.5264705631369,"754","spec-6184-56267-0854.fits"
41.5527320191995,"1156","spec-3665-55247-0718.fits"
41.7140836194476,"1164","spec-4221-55443-0556.fits"
42.0199325520827,"356","spec-3866-55623-0134.fits"
42.0797452310009,"535","spec-5461-56018-0838.fits"
42.6357204487845,"1145","spec-5768-56017-0792.fits"
42.70053817965,"405","spec-4452-55536-0019.fits"
42.7425869510077,"1193","spec-5771-56011-0362.fits"
42.7486350650223,"1440","spec-4211-55446-0538.fits"
42.8745183516291,"220","spec-4227-55481-0937.fits"
42.9253669298772,"1186","spec-3586-55181-0634.fits"
42.9715817882013,"399","spec-3757-55508-0408.fits"
43.0076625826389,"149","spec-6164-56181-0678.fits"
43.0640392279483,"682","spec-6411-56331-0302.fits"
43.1971386673008,"690","spec-4227-55481-0027.fits"
43.2599816898559,"980","spec-7081-56684-0350.fits"
43.3027475935899,"896","spec-6663-56338-0946.fits"
43.4169418877068,"1899","spec-5164-56067-0894.fits"
43.4817108059595,"1103","spec-3769-55240-0558.fits"
43.6097805576709,"104","spec-3793-55214-0542.fits"
43.7078073193462,"1563","spec-7155-56629-0104.fits"
43.7266279848787,"1070","spec-5418-56037-0940.fits"
43.906457977488,"256","spec-4444-55538-0900.fits"
43.912498158237,"337","spec-6836-56443-0752.fits"
43.9268767654764,"541","spec-5306-55926-0962.fits"
43.942961812436,"252","spec-5475-56011-0394.fits"
44.0338815799857,"1431","spec-5477-56030-0974.fits"
44.090786257425,"1038","spec-5420-56009-0709.fits"
44.095635343935,"172","spec-3825-55533-0358.fits"
44.1586551112656,"750","spec-4192-55469-0350.fits"
44.168197359902,"1598","spec-3852-55243-0748.fits"
44.2192595518902,"454","spec-4864-55680-0360.fits"
44.2295006994272,"443","spec-6409-56306-0204.fits"
44.2411524911128,"666","spec-7256-56658-0397.fits"
44.2601146432357,"1044","spec-7421-57159-0614.fits"
44.270488660479,"1037","spec-5985-56089-0260.fits"
44.2940827085731,"206","spec-6049-56091-0184.fits"
44.299512012717,"871","spec-6665-56390-0442.fits"
44.3856459311142,"201","spec-6746-56386-0120.fits"
44.4555991909421,"758","spec-6795-56425-0654.fits"
44.4605365545908,"2096","spec-6627-56369-0194.fits"
44.5559341860927,"1053","spec-5878-56033-0198.fits"
44.5758376724641,"834","spec-5466-56033-0088.fits"
44.5761807789773,"224","spec-4238-55455-0010.fits"
44.5783422929182,"1100","spec-6455-56370-0206.fits"
44.5898115735826,"604","spec-6470-56334-0318.fits"
44.595611493862,"1402","spec-5024-55854-0104.fits"
44.6217368354849,"307","spec-3942-55338-0411.fits"
44.6284407519656,"165","spec-7101-56659-0122.fits"
44.642326377147,"799","spec-4226-55475-0663.fits"
44.6835631790394,"451","spec-5776-56010-0334.fits"
44.7289682664484,"299","spec-3826-55563-0768.fits"
44.7656551393091,"621","spec-6135-56192-0128.fits"
44.7945495317325,"74","spec-7330-56684-0484.fits"
44.8675206042325,"796","spec-5870-56065-0078.fits"
44.9067969948577,"350","spec-5885-56036-0366.fits"
44.9149840872059,"1328","spec-7457-56746-0688.fits"
44.9515265898523,"18","spec-7256-56658-0824.fits"
44.9608847229025,"217","spec-5117-55925-0113.fits"
44.984863868888,"209","spec-3945-55648-0834.fits"
45.0189636355558,"914","spec-6617-56365-0748.fits"
45.0237206277966,"1299","spec-5359-55953-0640.fits"
45.0433696237175,"315","spec-5393-55946-0884.fits"
45.0495533544728,"1269","spec-5346-55955-0704.fits"
45.054393422906,"77","spec-3684-55246-0016.fits"
45.0755603889576,"205","spec-6170-56240-0060.fits"
45.105440118246,"295","spec-3941-55321-0038.fits"
45.1472899186751,"76","spec-3684-55246-0386.fits"
45.1600074538031,"176","spec-5057-56209-0944.fits"
45.2154578683635,"1027","spec-5403-55979-0260.fits"
45.2286923076217,"513","spec-6285-56248-0719.fits"
45.2506369915973,"828","spec-5324-55947-0886.fits"
45.2522376174835,"1351","spec-4053-55591-0940.fits"
45.2574979320253,"377","spec-5852-56034-0612.fits"
45.2592173318449,"865","spec-6807-56429-0807.fits"
45.2603977262347,"15","spec-7256-56658-0515.fits"
45.2720957786548,"2035","spec-6440-56370-0318.fits"
45.2727590800806,"553","spec-5000-55715-0570.fits"
45.3267776880633,"72","spec-3686-55268-0490.fits"
45.3289230121196,"855","spec-4233-55449-0432.fits"
45.4036021286716,"68","spec-7282-56660-0036.fits"
45.4298632651062,"70","spec-3694-55209-0154.fits"
45.4560719846339,"793","spec-4903-55927-0680.fits"
45.4637111818303,"217","spec-4231-55444-0824.fits"
45.4647260431257,"1021","spec-4020-55332-0120.fits"
45.4717336867149,"873","spec-5469-56037-0803.fits"
45.4855394359161,"1654","spec-5135-55862-0964.fits"
45.4901951548897,"1662","spec-3804-55267-0728.fits"
45.5066478812704,"686","spec-6422-56328-0278.fits"
45.5067482316926,"1155","spec-4965-55721-0764.fits"
45.5336078553623,"1306","spec-4005-55325-0882.fits"
45.5345061293693,"29","spec-5309-55929-0704.fits"
45.5346837100346,"84","spec-3663-55176-0486.fits"
45.5411029820718,"69","spec-7457-56746-0422.fits"
